glyph,codepoint,tile_index,tile_index_hex,column,row,src_x,src_y,source_text_index,source_char_index
복,U+BCF5,54,0x36,22,1,176,8,3,6
속,U+C18D,55,0x37,23,1,184,8,3,7
쏙,U+C3D9,56,0x38,24,1,192,8,3,8
옥,U+C625,57,0x39,25,1,200,8,3,9
족,U+C871,58,0x3a,26,1,208,8,3,10
촉,U+CD09,59,0x3b,27,1,216,8,3,11
콕,U+CF55,60,0x3c,28,1,224,8,3,12
톡,U+D1A1,61,0x3d,29,1,232,8,3,13
폭,U+D3ED,62,0x3e,30,1,240,8,3,14
혹,U+D639,63,0x3f,31,1,248,8,3,15
과,U+ACFC,64,0x40,0,2,0,16,4,0
놔,U+B194,65,0x41,1,2,8,16,4,1
돠,U+B3E0,66,0x42,2,2,16,16,4,2
똬,U+B62C,67,0x43,3,2,24,16,4,3
롸,U+B878,68,0x44,4,2,32,16,4,4
뫄,U+BAC4,69,0x45,5,2,40,16,4,5
봐,U+BD10,70,0x46,6,2,48,16,4,6
솨,U+C1A8,71,0x47,7,2,56,16,4,7
쏴,U+C3F4,72,0x48,8,2,64,16,4,8
와,U+C640,73,0x49,9,2,72,16,4,9
좌,U+C88C,74,0x4a,10,2,80,16,4,10
촤,U+CD24,75,0x4b,11,2,88,16,4,11
콰,U+CF70,76,0x4c,12,2,96,16,4,12
톼,U+D1BC,77,0x4d,13,2,104,16,4,13
퐈,U+D408,78,0x4e,14,2,112,16,4,14
화,U+D654,79,0x4f,15,2,120,16,4,15
곽,U+ACFD,80,0x50,16,2,128,16,5,0
놕,U+B195,81,0x51,17,2,136,16,5,1
돡,U+B3E1,82,0x52,18,2,144,16,5,2
똭,U+B62D,83,0x53,19,2,152,16,5,3
롹,U+B879,84,0x54,20,2,160,16,5,4
뫅,U+BAC5,85,0x55,21,2,168,16,5,5
봑,U+BD11,86,0x56,22,2,176,16,5,6
솩,U+C1A9,87,0x57,23,2,184,16,5,7
쏵,U+C3F5,88,0x58,24,2,192,16,5,8
왁,U+C641,89,0x59,25,2,200,16,5,9
좍,U+C88D,90,0x5a,26,2,208,16,5,10
촥,U+CD25,91,0x5b,27,2,216,16,5,11
콱,U+CF71,92,0x5c,28,2,224,16,5,12
톽,U+D1BD,93,0x5d,29,2,232,16,5,13
퐉,U+D409,94,0x5e,30,2,240,16,5,14
확,U+D655,95,0x5f,31,2,248,16,5,15
까,U+AE4C,96,0x60,0,3,0,24,6,0
개,U+AC1C,97,0x61,1,3,8,24,6,1
갸,U+AC38,98,0x62,2,3,16,24,6,2
걔,U+AC54,99,0x63,3,3,24,24,6,3
거,U+AC70,100,0x64,4,3,32,24,6,4
께,U+AED8,101,0x65,5,3,40,24,6,5
겨,U+ACA8,102,0x66,6,3,48,24,6,6
계,U+ACC4,103,0x67,7,3,56,24,6,7
뽀,U+BF40,104,0x68,8,3,64,24,6,8
꽈,U+AF48,105,0x69,9,3,72,24,6,9
괘,U+AD18,106,0x6a,10,3,80,24,6,10
괴,U+AD34,107,0x6b,11,3,88,24,6,11
교,U+AD50,108,0x6c,12,3,96,24,6,12
구,U+AD6C,109,0x6d,13,3,104,24,6,13
궈,U+AD88,110,0x6e,14,3,112,24,6,14
궤,U+ADA4,111,0x6f,15,3,120,24,6,15
귀,U+ADC0,112,0x70,16,3,128,24,6,16
규,U+ADDC,113,0x71,17,3,136,24,6,17
그,U+ADF8,114,0x72,18,3,144,24,6,18
긔,U+AE14,115,0x73,19,3,152,24,6,19
기,U+AE30,116,0x74,20,3,160,24,6,20
짝,U+C9DD,117,0x75,21,3,168,24,7,0
객,U+AC1D,118,0x76,22,3,176,24,7,1
갹,U+AC39,119,0x77,23,3,184,24,7,2
걕,U+AC55,120,0x78,24,3,192,24,7,3
걱,U+AC71,121,0x79,25,3,200,24,7,4
껙,U+AED9,122,0x7a,26,3,208,24,7,5
격,U+ACA9,123,0x7b,27,3,216,24,7,6
곅,U+ACC5,124,0x7c,28,3,224,24,7,7
쪽,U+CABD,125,0x7d,29,3,232,24,7,8
꽉,U+AF49,126,0x7e,30,3,240,24,7,9
괙,U+AD19,127,0x7f,31,3,248,24,7,10
괵,U+AD35,128,0x80,0,4,0,32,7,11
굑,U+AD51,129,0x81,1,4,8,32,7,12
국,U+AD6D,130,0x82,2,4,16,32,7,13
궉,U+AD89,131,0x83,3,4,24,32,7,14
궥,U+ADA5,132,0x84,4,4,32,32,7,15
귁,U+ADC1,133,0x85,5,4,40,32,7,16
귝,U+ADDD,134,0x86,6,4,48,32,7,17
극,U+ADF9,135,0x87,7,4,56,32,7,18
긕,U+AE15,136,0x88,8,4,64,32,7,19
긱,U+AE31,137,0x89,9,4,72,32,7,20
빡,U+BE61,138,0x8a,10,4,80,32,8,0
갂,U+AC02,139,0x8b,11,4,88,32,8,1
갃,U+AC03,140,0x8c,12,4,96,32,8,2
간,U+AC04,141,0x8d,13,4,104,32,8,3
갅,U+AC05,142,0x8e,14,4,112,32,8,4
갆,U+AC06,143,0x8f,15,4,120,32,8,5
갇,U+AC07,144,0x90,16,4,128,32,8,6
갈,U+AC08,145,0x91,17,4,136,32,8,7
갉,U+AC09,146,0x92,18,4,144,32,8,8
갊,U+AC0A,147,0x93,19,4,152,32,8,9
갋,U+AC0B,148,0x94,20,4,160,32,8,10
갌,U+AC0C,149,0x95,21,4,168,32,8,11
갍,U+AC0D,150,0x96,22,4,176,32,8,12
갎,U+AC0E,151,0x97,23,4,184,32,8,13
갏,U+AC0F,152,0x98,24,4,192,32,8,14
감,U+AC10,153,0x99,25,4,200,32,8,15
갑,U+AC11,154,0x9a,26,4,208,32,8,16
값,U+AC12,155,0x9b,27,4,216,32,8,17
갓,U+AC13,156,0x9c,28,4,224,32,8,18
갔,U+AC14,157,0x9d,29,4,232,32,8,19
강,U+AC15,158,0x9e,30,4,240,32,8,20
갖,U+AC16,159,0x9f,31,4,248,32,8,21
갗,U+AC17,160,0xa0,0,5,0,40,8,22
갘,U+AC18,161,0xa1,1,5,8,40,8,23
같,U+AC19,162,0xa2,2,5,16,40,8,24
갚,U+AC1A,163,0xa3,3,5,24,40,8,25
갛,U+AC1B,164,0xa4,4,5,32,40,8,26
꼭,U+AF2D,165,0xa5,5,5,40,40,9,0
곢,U+ACE2,166,0xa6,6,5,48,40,9,1
곣,U+ACE3,167,0xa7,7,5,56,40,9,2
곤,U+ACE4,168,0xa8,8,5,64,40,9,3
곥,U+ACE5,169,0xa9,9,5,72,40,9,4
곦,U+ACE6,170,0xaa,10,5,80,40,9,5
곧,U+ACE7,171,0xab,11,5,88,40,9,6
골,U+ACE8,172,0xac,12,5,96,40,9,7
곩,U+ACE9,173,0xad,13,5,104,40,9,8
곪,U+ACEA,174,0xae,14,5,112,40,9,9
곫,U+ACEB,175,0xaf,15,5,120,40,9,10
곬,U+ACEC,176,0xb0,16,5,128,40,9,11
곭,U+ACED,177,0xb1,17,5,136,40,9,12
곮,U+ACEE,178,0xb2,18,5,144,40,9,13
곯,U+ACEF,179,0xb3,19,5,152,40,9,14
곰,U+ACF0,180,0xb4,20,5,160,40,9,15
곱,U+ACF1,181,0xb5,21,5,168,40,9,16
곲,U+ACF2,182,0xb6,22,5,176,40,9,17
곳,U+ACF3,183,0xb7,23,5,184,40,9,18
곴,U+ACF4,184,0xb8,24,5,192,40,9,19
공,U+ACF5,185,0xb9,25,5,200,40,9,20
곶,U+ACF6,186,0xba,26,5,208,40,9,21
곷,U+ACF7,187,0xbb,27,5,216,40,9,22
곸,U+ACF8,188,0xbc,28,5,224,40,9,23
곹,U+ACF9,189,0xbd,29,5,232,40,9,24
곺,U+ACFA,190,0xbe,30,5,240,40,9,25
곻,U+ACFB,191,0xbf,31,5,248,40,9,26
쫙,U+CAD9,192,0xc0,0,6,0,48,10,0
곾,U+ACFE,193,0xc1,1,6,8,48,10,1
곿,U+ACFF,194,0xc2,2,6,16,48,10,2
관,U+AD00,195,0xc3,3,6,24,48,10,3
괁,U+AD01,196,0xc4,4,6,32,48,10,4
괂,U+AD02,197,0xc5,5,6,40,48,10,5
괃,U+AD03,198,0xc6,6,6,48,48,10,6
괄,U+AD04,199,0xc7,7,6,56,48,10,7
괅,U+AD05,200,0xc8,8,6,64,48,10,8
괆,U+AD06,201,0xc9,9,6,72,48,10,9
괇,U+AD07,202,0xca,10,6,80,48,10,10
괈,U+AD08,203,0xcb,11,6,88,48,10,11
괉,U+AD09,204,0xcc,12,6,96,48,10,12
괊,U+AD0A,205,0xcd,13,6,104,48,10,13
괋,U+AD0B,206,0xce,14,6,112,48,10,14
괌,U+AD0C,207,0xcf,15,6,120,48,10,15
괍,U+AD0D,208,0xd0,16,6,128,48,10,16
괎,U+AD0E,209,0xd1,17,6,136,48,10,17
괏,U+AD0F,210,0xd2,18,6,144,48,10,18
괐,U+AD10,211,0xd3,19,6,152,48,10,19
광,U+AD11,212,0xd4,20,6,160,48,10,20
괒,U+AD12,213,0xd5,21,6,168,48,10,21
괓,U+AD13,214,0xd6,22,6,176,48,10,22
괔,U+AD14,215,0xd7,23,6,184,48,10,23
괕,U+AD15,216,0xd8,24,6,192,48,10,24
괖,U+AD16,217,0xd9,25,6,200,48,10,25
괗,U+AD17,218,0xda,26,6,208,48,10,26
