translation_key,korean
ed1d01132c0d28d7370ee0b725c092a7c44a49fcded5baeb7c2924704fb91706,AMX-107/시작형･개발
7942bb66f9492ac6dbbf57007bf4e2f5ba33f48bff135a1e2c8b09eff42384e1,AMX-107/양산화
ab8a2dd2f16bd823dfe0e480bc976ca8292122020880977e8d7d3355f834c4c4,AMX-109/수중형･개발
a73b1e570dd547eb2da52ad8aa69e1273d929b624857210f679b94150900d2f1,AMX-117L/백병전용
f8dd7ed7518ef72b7fa41e95904800a4b44af2b68758bed91f773863e5ed2a70,AMX-117R/백병전용
edfbbc19b2eaa7c9550625e0ab3994685e1273cf4275054e012b36bf8b5e5a9c,A메가입자포
7642d6a5cf82dc466c0045f08bf602c85c489ba25698b765a4c96a3e211b5624,BD･2호기[N.S]
d1cd42a152c169b506a9f93c856ed03ce1ec1b755e9f24b52f52bf2f679a9141,BG빔캐논
55ce8afda62312a9015e3853887344051b6f004e1702362a00481e689f30ad45,BG메가입자포
3d117326cb79aaa7568408b8ad88476a6cc60080859aa00ab1942532cc55254c,BS유닛
d6e1c051468b268730e967e0adb19907618fd9a7cdd1d5e61ab0f462cc079975,B･압스트
96ba5716d3dee627f949b33bf182e140da750a9b72d1cdbb94a94f5dfd8d2492,B･사만
e7d58357a9437ebd31df400b9b8c91f117e3e6f19e021f5899e8d7f242f85847,B독･MA
eb6e225b3e8ed95214f83a5bedd00c58ca7edc5c8d2f04069913000926af44b1,B미사일
d1b6ff9b4d5b818ec92327b401fbd6c0965571172292a1bbb3153991b09363d1,B메가입자포
f3ff2565084a56013d2462acaa876258d74bbeeb582d2a8a6d8826bbe25ecb6c,C톱-ZZ
3266f1c2a206f893025b66273eb6c4cc82e6d5385443f8329434d1ef62b30968,C발칸
8463bdf44d891e95b9ae908a4107d1e1e9b1c455bcf8fa2afabc8f44046c0900,C파이터ZZ
3a18fbd3203927d09893e1628aae40f7856d696ea8995492ec9c36103718db5b,C부스터Ⅱ
cddc72ead3ade4e2d56c2c294c78ffb35ac6a3659c32a73bebf6d1555d8344f7,C베이스-ZZ
9e781863930205a3398ff8201f31dabeb0a8623ffaf8e8f4b84b62ae50b34bed,C미사일
e65456c0b5bd5c88ea069b0af4b4e58a1786d89f2ed670606a2ae3d23460a25d,D건담･MA
ef74f03e968690bd9f76f19247deaf936958f2df0e1605af789de93810fe4bb4,D자쿠/BT
9b077415e560bd0a305a17c15e0c8481ea804783d83a26160e946a7de85aaee7,D자쿠･A
f39a3c6333c33983e806319d6dc8e63162b0f5718e22357aebc5999d2328bb95,D자쿠･B
5325c1ce2fa366ce55aa5011637b5406ee5418bd6ff91c15ec3b041d20e62cd0,EMS-05/개발
62ab21c37e79bfa4e62781ebcaddbb4a4171aa452c7a5d1a64ef559f4c7ebe28,EMS-10/개발
595e3427423307e8ca6818dc247f1d8472c7cd50c04112338f81c61b5e319952,EWAC네로
d5c884a75ed0fea1c741a802bb76a8f0d2a9dbf4967b7ea78ef75f9dd6614c11,EWAC네로[F]
2f889adcb10bbcb3466163cd2ac37be2b5f4ee7cec6767c46a53b29fea3b9382,EXAM･탑재
09124598ab8b8b270dc4ee16ccbb9abbe10657c6ec1dc8c807d37542f7e52a1f,Ex-S건담
7e3de8b336911ce4bc8f584ac3a8a823225ab5ff3982a9004ae46bcf73569d9c,FA-007GⅢ/중장갑화
3a8121bdf13f5915b9abca22334c60490f2772f0833e67353a4470a951de2742,FA-010A/중장갑화
11872d50c39a82d0fc3ad4d2c70dfdb30392885e9ddd627822b58b1a384dcb30,FA-178/중장갑화
435589927584ae5badd6851eee2fdb7ebfbd9b4d24d5323e937a6380fbd98c44,FA-78-1/이동포좌･개발
d9f02dbc4fffc1e67d94dab2156d58037b128cd886cdb41e09f551e68f8e7904,FA-78-1/증가장갑
373dbd5066aaab8ff1c61d3e50db5b6c8b03725673e8ea7575f49b9bad431bba,FA-78-2/장갑･강화
87225432f84254044d289370ac7ca9ee32064bfe5345fccbd489f69303f5d059,FA알렉스
e7bd62dd62bde12086068a4ef343fa6506e9e0df4b94b531ecb09cbd38eeafa1,FA건담
89dd403f10a661e4054ee6aae039c8ef05bed240428d6f9dc392865ee67cd27b,FD-03/개발
fcf586377b52de2e797ba5208628ec3c6e21b123ac248d52259022a31da5e0dd,F바주카
2f1ab69806733a1f206f00f25f9ce5e5c21c055158d540f03357e52025bacb2a,G-3건담
ca973177f68f49e7933f70ef91686d30e63374f7595d564375e2e4008cf82fd0,GC디텍터
6c2ff758e3b76075e774892a031dfaa3a3d7f1d712cb8d4f386167f24413f640,GM스트라이커
a422d973187ca9cf9af2abe9e637243f851a943dfd327a4658524f020c54b2fd,G･캐퍼
eceaf162ca54a48288712ee379b7e00a001887b9d448ae0c9944691421ec12c3,G･킨제이
9b89fce5f5bce3eb45eea54f10af5eee1dc3bae495edb5132ff2fd7c17660e0b,G아머
5d9b3e8a5b5ac19d28ff854f1b08ac1edad047b6ece2657b5bfe1458f039597d,G어태커
eed75a06e3508e18ed26efbcddf7e5bbf41a6c83201a17ae89dfcfb7c5730e5d,G알렉스
1d3ca754fcbc1cd6a9b949b7aacbdd4d6a12c40af60c1cb047227e6ec9d64d17,G가베라
cce99793b21ed7a01717cf708741450700840d62451d2e4833c2f18630c8f956,G크루저
a128479869ad8538aafcc3d4e25755bff41fc59848e00b21ed4e28d696bf2bc9,G크루저모드
d58a313386e992036ddc1884e145930ec5dc5e0f5da7c90988c0d76068e2a7ed,G코어
ee711b2b02d1bb31e2c8eb452d0ae3aaa6748fcbeda9054503445fccc8f14518,G사이살리스
20913f90454f90b8bfad46059d2067ba4616d186dc2e4b3430509641a54e781d,G시작1호기･제피란서스
770490f61af465d695f9c47b968389b84c3c684cef71a260e00e194a5561828b,G시작1호기･풀버니언
c9d6298819829d684f2286aeee0e4b266a13f51da5add6f55953595354185af1,G시작2호기･사이살리스
759461d7bc7946d383e01d25b62a52315d44ccd53f1e6874568fcab141edb005,G시작3호기･스테이맨
e067ccc6d9eee9bfeaef44a964ef1d128917026c82a965ba218e912f25751abd,G시작3호기･덴드로비움
e6641ee6a16990a9680a18316a64a556418d5aa27a8e9987533a835cec13aa9d,G시작4호기･가베라
d41999b6436936955b13c689a5f6c1ae1f091f36bcc58f5c6cbb431183c8e084,G스카이
506dbe5c4f12e0aed991e2675495ccb250d35a0434e7203b93ab60f56a114a4d,G스테이맨
5993f4efed078c0eda90e93bd18743f766de45d8c4163dbc98591868bd725235,G제피란서스
1d761e2f2c7b361992bf8a6f760e5f68e39b75230a95d59e18daac9ae13e7486,G디펜서
06b89b5d226c2d982821ac3e40ea22e7fe0a9c15577060092068fb307f132ba6,G덴드로비움
a8e42cb27e781d82772df0d80af7c6cc30d18cde1d6d3fca65b2213db25653b7,G도가/RS
ee10c1f42cc1c3da997e65f2db8dff00f92f34fbcdcbff676ebc0357c896f07f,G도가･S
4d7e3387921e29b3a6deb1400d2d967820778a2ccdf2abbf3abcab6a0d0eb69a,G파츠/개발
f6fecca7b24ffc50bd848610ff9a9472f13238992f44df770cc1410747c37c79,G파이터
ba4fb1111c33264b7a247b5732071b59cb60454a4878ee3aced5409fa546e578,G포트리스
7cf2c856eda36fa3a2358091a2904e2731a239613b54948394e446eb3adc6070,G풀버니언
139cb939108f1074741ddd8ac56d8f601936aa9b121f9d107d600e6ba2eba137,G불
32a52e3b5dcf75b42cc576a1cf998d9186a6562d2ad644f5090f7fdcb62f45fd,G보머
dcb4e2c89783b3be035ddc5d379b914706bc549be9be09c4535850cde7634a20,G육전형･A
3507b9ec69c183884250019e667f28b6c7322851272f6d52b28586a786ca324e,G육전형･B
e43bf2ed5f7185ad3d626efe90ae1db7237a41323c8b80ddce171bfedf2c516b,G육전형･C
122386fc30d802489d3fb8ee3a1ae9395a0ee10861e4f2023eceb747857bf4c3,Hｉ-ν건담
76833cc2bfc70ccee8388fd7473610e89b573aa493810d3a0ddd4f50ca79dbc1,Hｉ-ν건담[F]
a61862c398d4f5cf6ad1a8e1a898ef336988317d5ee9272c7c4315a7ef80f653,H그레네이드
5e99a19f5ab9ae3314ffe2e0819d27209d4ea5a7334035cef2a525bd228b4c01,H바주카
56ce8fe2a39f227468cbd0b3b9828ec637feb3b2cccf7d73f39c974d6fb611fd,H발칸
b3ebe87322cfd188f784086eb985f731254cdabdccfc00bf674f9bc2bf0245cb,H빔캐논
9471c5da1b46fe647e91d13c43bdfbc0322f5afa73e128e578d67326cb0251aa,H빔사벨
88bef0596278009359ce9dfedfdf96afa9d78c8ae1bd27c16022014f20ada96c,H미사일런처
673192f1915a61898fb8892e4ebce9c9ae37253ffd303eaa6904199c84255f9f,H메가입자포
419581687bcfcab26485f2d0b7a8a0f2bccb324a26c3d0401fea13a16033c173,H로켓던포드
4008697ad13d4bad6c27646a3a97442a5a3c3baf8565b5664b8ba75d4c9463a8,H로켓런처
b91507683d1d7b49af1d1fda9b0f0fd279b6137ddd2a55ea22df63bae30fde00,I필드･장비
86b8e756782fd3474c114998cf545cafd3e78b837142f0dcf0186dfca7fe9b70,J라이덴
0ca3c60c1faac0c53f4824dc1d97590ba6a88d4d178af6042e9a9eea24ebbec8,J도가
bbc8f29408c0f4726b46caa3d8345ad5a282a38c298d7d5b73198ab12dfbf968,J도가/GG
22501e1fd9cefc6453e5db5c8b712ee0cd27c2af9137c0e07339f5abd3a43036,J핀･MA
68a1c2c87caab60928cec3f02ee54dfa837d7047c1ed9be1d13103c44b9d627e,L빔라이플
006c784b4d3b391083b98e2cd95db6b1510760b88585738858f40d8c8c2898a7,L미사일
dc3b083c037aa1388f6f06f6105484316917d36c5d8a53dddbe9d2c6cc23e53c,MA-04X/시작･개발
c6e9bb56dd8669ec9daf3389a809921fbc70dfea0d1d970f55c0104d486d347e,MA-05/개발
d285ed75abd08f2c7b638972f74e4f14629d1e7b4cd1a7d10e2b767d66bf1aca,MA-06/개발
3d6c2b62eb8c6c5009919f3d289aab19a077eb9a64e741b66480827198f3c33b,MA-08/개발
72239305de3be1945b07599229ebe04190048965a6d46e64d8d9a72bd8363a7b,MA-08S/자비･커스텀
a2c97ab665e9e9643a916cc7dde1b1baae5a82b452f1e3a2a8e018ef5ec69627,MAM-07/개발
286c595a27e271b3eb412034927cd1023d958e88bea100a4b78a5b0edd4d136f,MAN-02/NT용･MS개발
300c9f6bb4d02c52e8a049c648b7342b001b7f39570f786e128a15e4351bcaf8,MAN-03/사이코뮤･탑재
d5ee5447f052fd05dd02dc725a08c1eba4922910171d0b0d80896c7d105699b1,MAN-08/개발
950698c4e9f83b3cd280df1aeb087dfc58355c8c10ae9cd212d1e7ea36eb743d,MAX-03/시작･개발
3ec457216e3b206717602f22259dbe8c79276ddb21befd6495f62ef3e867fc1c,MRX-009/개발
8bc7909c76ee27c2ecb2e30252f5007c6b44a4009498908d01d507a4ee2de6b0,MRX-010/고성능화
498edd2f2d45692aec59e65df93a1f6794c9b5efd0bd549e1ed3a3da0e2623f5,MS-05/개발
3e2c51208cdc69aeb9f4c3b634678d61e243abe026e0d089271cdbabbf0d1bb2,MS-06C/개발
b6cb1b689c706e431c2f4401899d1d00cc0d070864449f0d971e6a9e3f05df25,MS-06C/핵바주카장비
390a28d604533b55e0a5cfec5f8689cce85f30e0f2a5306ae437321562cc2a20,MS-06D/고성능화
44648eb8870b81dd6c94a6c9597f08f7202760951d2952b32e1676b2933f8533,MS-06D/사막전･강화
fd4f2a468e0c8ec43780df9297062f91076b16df46d6296dafb9e70f37e4af26,MS-06E-3/고성능화
7facdb025152128fe7350593288d83d2c939ef57d15b03fd757a5a9d555eab18,MS-06E/정찰형･개발
b3373b0b424bd6a90c528e5a6a66ccbe893350f410ec6a5ff417897ba1363c90,MS-06F/고성능화
f4fe680bf1f2eb8d8952a867885f19dba507b304fb7d1ef176440fe32b6330ab,MS-06F/스키우레･개발
787e22c641d96a59bfa87e062d9be3c88607003571677cf3b311f34fb90a7557,MS-06F2/고성능화
5c91638f04f3f76ac9c96aa1b1f6a23f5f3acc3c239e4f612cacfd597f3e0d2e,MS-06FZ/개수형･개발
e5ad9187981e081800a9996f4fb5eff37cbf92f54b6477d50fffc350c1087e5a,MS-06J/마젤란탑포장비
d707f4aa2a72059c039557a5bc33780854b847f7416b484dd8e7214a887ec7bb,MS-06J/육전･강화
111fbee0dae3b768625d916e4a37136fe05176382326c201d64583d7bc3bae35,MS-06K/지원형･개발
b29a2e8e46be5ee06c7c348d5acd659d44cc1ba7ddaa7fff8249c7bf858187e0,MS-06M/수중형･개발
0a640cd61a0a218f3024fb885228116ccee2e7501f558e0fcd2fe333a55aa752,MS-06R-1/개발
1b9d218914ff43c7a2270e7134eb37e7ae610618054bc0ce0a67f23866b8b629,MS-06R-1A/개량
9dd83dac3698c8135cf16cf93c7d99dfbbb09998d28a2a1309195ce4a8147d25,MS-06R-2/고성능화
679fce3c8389dea905daaf50933bdbd81ab0335767d7a8e0e33f0ad6204cc2dd,MS-06RD4/고기동･시험
e473f244f6c76a0373069dbaaec74ffd00bccf1963a5bf9d399763520b5e1c37,MS-06S/에이스･커스텀
59e174e625156e3df47fc863ad190b2376bb4e5824680fd75c3c85d949437156,MS-06V/재생형･개발
03bb8878f7a556460f7967089c00c128f3f3c6a73c4f393a5965f5954038e215,MS-06Z/사이코뮤탑재
3326ec456b7234da1a57844a957c9f06a09f5cc6ec0f21dfc61a30733dc59c99,MS-07A/개발
082456e08f76d6769265e9f1ffa1a90b1ae0e19c8ab3106474de7b177fdf4001,MS-07B/개발
808f8bd437f13a66b9635cc480697050a92ea395da47ee17d9afe352f0e3750b,MS-07B3/개수형･개발
46b6e3c0846088e4eda57d00cabe49931796c33f93455974b0bab7799f77cc85,MS-07C/장갑･강화
97e95e7ce70f6b8957b95fe254c0f29a448f59595a22163fc37bba9b6ce3be6d,MS-07H/비행형･개발
4ffbaa877ead75222dc1a63022376b2b7d9e4aded48f7fdbb558f12d1ee2a523,MS-08TX/EXAM탑재
0c0efadb930d69d1ba55bb310cfb2afd2458bb4029dab151269889149fdc1625,MS-08TX/개발
850b43bfaa0dfd6b4c448d3bb10a464d9f0e2140ece4effe20e7e07085ee192f,MS-09/개발
0be13abaaebae4d61c0b3cfc5795dada3401317385628463e08dfffc911eb27f,MS-09F/강화형･개발
a6201eef879ebaa2a75ac98ee58591f38e131079f3fd9199f3f1c6002c036584,MS-09G/사막전･강화
c454631815be35d13d0a4f6e4a245ba007b44c1586a2c294c1e0cdae76f872ae,MS-09H/고성능화
f5cf1fca6fe7365c1011a15d336caa48d548488ffc709b9327c0a1e7d6e163f0,MS-09K/지원형･개발
14c192cb0467d0ee490ce8c68ebd244fd6345e0a33a23a04149533f09c7476fa,MS-09R/우주전･강화
7c288d4e60d6d0a23e282110b4d9aa875c0a0c30acbbab75b736cc365f4ed99e,MS-09R/슈토차･개발
e13b4de472496ce8ec9413d80f7405cfa0ec59e306f643a46c2c7bbb45a90093,MS-09R2/개수형･개발
db548a45be3df0932187551fc6e0b6bb3cb6192fea7f41e40361d3cbcbe73c3c,MS-10/개발
ca8e6916f14b0fae7745ee04fc2869b150c278fc65118d8d96fa258dc1bb6c93,MS-11/개발
ff7772f3fec1343a0ad76dc5e1050c4b2ff0d1be99723d8a54c11d6b96a83d7a,MS-12/개발
cc07924466dc7b94ee4fc4e134e6181222d3f5ba6c26a7be0ec2a4e47c52ac71,MS-13/개발
a88e0e95d79e70f6bffe378a124bfad555031ad245df29259c1ae3cad83b3764,MS-14/슈토차･개발
6aca52aec23ef7a4ce76b0384e9cbddc542de69ede3da793bced0b2f54be3633,MS-14A/양산화
19bee3dbb4562e2054074a57e151dec338f422d0d1312d2a4800164d1adb65a1,MS-14B/고기동형･개발
b21198c5f5e3d7dc03c82aa9f8b11b2be2f1e59a8ac137d439b30621ec4b0f0d,MS-14C/지원형･개발
64bfc86866a41abc86ade1a36507887fd2dc3b1e42ebfbddb2407ed9e017b3ed,MS-14F/강습형･개발
d3128849d651f8bfe19f9f174f7520e60e9a765be06f94c82830ec4d37212417,MS-14Fs/에이스･커스텀
5dfdc25619acbc1b557f9ad5172c9dcf0b7857eefd8d75283efa299f7c18ef57,MS-14J/개수형･개발
ff6d5dc2a879ca4d58f7fa81bc5c1f224f00a4f155b33c24f08ace86af2c0023,MS-14JG/저격형･개발
9dd8303d2258168bf777c1f9eeed44d78da2abac9ae50f9afc6504ffdf08c9a1,MS-15/시작･개발
66750f3872f374adaf2d33cabb6cfb87565891ecc7f480e1a37dd6d6ee6cc5a9,MS-15A/양산화
aa7b4aaf7318bd1687b2ae519984091b330a2429ba0422c789074b5d79aac448,MS-15B/고기동형･개발
ffdf391ecbf0ee7d1c9fda139589892c6ae90e5e185bba558af918b61e5abe8d,MS-15C/지원형･개발
b739f46af629920760eed7e6cb06ee95dace9921a34cef06a00e900fdc7efdf7,MS-15F/강습형･개발
a30e7f3c3b453df34b008abd29ee7a53e318ef97f2eafa0acd0592014ca9d397,MS-15Fs/에이스커스텀
2ce0507912d066c640340297ca508bafdaccdd65faa07054896f883d7a5b1b71,MS-15KG/강화형･개발
5805f34b99635d5071c4193822bc613d7fbdb71e218c982207a2cd165ce4fe15,MS-17/개발
a806dab0fa3a7fbe03d545921473a7e866914a5d451fd744e8f01ae632bfd4a8,MS-17/개수형･개발
b4a64902cff3c5a9af8d0cf09a6d80b59ce723acdce394003cd16e239eb222f9,MS-18E/시작･개발
2497e47b0fa8d89a3596aef5cc0b7e8e6b8eeafb08329c778ba53d5dc4712cea,MS-21C/개발
02360c0c822ff9bd16d4bf5f0e12e2a3a3399cd37ff01e4ff077498bb07a7f8b,MSA-0011/개발
0440fcd775298f8bb898e5c0996da5b6891a0566bd74c283ab916f000df76b07,MSA-0011[Bsｔ]/개발
c16e3dce0381b2161de160c0fa269aa7315107d7066e3b30908602a9c29bf9d6,MSA-0011[Exｔ]/개발
152f6d957814f0e7efcb5fa6cdbf448df3b254f7b27332ee91136700419ee0ce,MSA-003/개수형･개발
4342551b5cfc999ca6cf2b2db06014b9983702b4c98a2eb1a544106be3d75252,MSA-004/개발
adecc7fdd2f5af29e1c9e913b770ec39307ada02d779154803bf5eefb37ffba2,MSA-004K/저격형･개발
bcb663769e805e0f60954c98e2a7a9b427ba82e50d8f6189d21ec3de650ea156,MSA-005/개발
2ced97c463bce1c487d738ca9792aa111048c3746164a28946173eea6134be8e,MSA-005K/개발
ed975f631954b07901d190fb14c933e13e49f134dd8fd21c3bcd25c887f8255f,MSA-005S/개수형･개발
4096fde7e9dd5c7e01b6fe950c75648a7970bd9680368d81426f8ef29193d3ed,MSA-007/개발
d0875032527e6bb58228d9e3f6752c28cd0fa5e3b42f48705a2774e0130c6b0c,MSA-007E/정찰형･개발
8a1db94ac1c7d95cda1d847356480b207170a044378f9b4fbb9fadf3e93c7071,MSA-007T/교관용･개발
5f7760f8d7eab39d3ce2887873f948e742c9abcc7aad99d825ecabede0cfe232,MSA-099-2/개수형･개발
cbe201c7dd183580870efa99080ae6234a212657974a55adf64eabef2abefba6,MSF-007/개발
713856c2c24c2396bb0db4bfde724e64b4bb8b8198af0055a79b355637547e0f,MSK-008/개발
f452cc92e723991fceb3e5ecb09444d74f7f227944d243ea1f65a41a334408c3,MSK-100S/육전형･개발
c6a3c94484230dcce84acadedfb5a91eba6cc8ec2b39fa3bc063089d34b8344d,MSM-03/개발
d66726b8de1240bce18210c5c62073a0f0353fb65595c69129e680a2540a396e,MSM-03C/고성능화
0ee5b2196d80c60d71febb168d787e776599806f7296bffeb8e624d3e9c10132,MSM-04/개발
cd6b48047c2241d2eda5f74253d4d2db6673a5408b05bf0d7ce4cfdf9a3f8749,MSM-04G/개발
a4d1938f33b5e150a74836631b39a9222e99bbc16d0f764ec4dad89eed40857d,MSM-04N/개발
7eac3f5b1ec97eef18b2ab4e22d63bd8343cc03f874b88309bf090be227c170d,MSM-07/개발
a860467632107d938f36c78bfbf73d0286132a8f1bd91dfa329b6e111cf1db3c,MSM-07E/고성능화
9aecc207e1ab3a0efe077ee233eb4afe4995e1bc9360924af893d55fc6b4fbe3,MSM-07S/에이스･커스텀
a8e15cf3c7f2f9128c1910d31fba1aba684b4ccfa52b486ee735510c3d257474,MSM-08/개발
aae6bb564cddfea1667ea2ae214a36fe146c9bd15c36a97f8b3b4d40177c2805,MSM-10/개발
2510524845998c423513112d98ad409a4a68efae5ea84b0021bc9ba46f2a0615,MSN-001/개발
13ae42906714b0d0bbe8a9b930325c624eb97c28775bce6a0ade56181a4e2133,MSN-01/사이코뮤탑재
827da14c6fe13bd5b634143b5dc293583efa01fcd2ddff6ecdd428cbe3823c13,MSN-02/완성형･개발
e5c13beaceff25fc4ca9674b6d648352283a80dbb1e7422fa3f8c49858f11be1,MSN-03/개발
4fbcf28889cfb2d5c1e4b926bde053a7d9faa354c61860eeaa28c79aaceca1ec,MSN-04/개발
6f10cef811782329a8cb9118e54122acfee6979bb64ab66e1172d3710ebe823d,MSN-04Ⅱ/고성능화
033e1d066e333cd8e33afe1611e508832aaafebca37b3ddfb49fc2954b49ee6c,MSN-100/개발
1118b486dba44a0cdbcdabc5991f322499eb0331fbbde6dd79f8d9d6417c9c8c,MSN-100/무장･개발
40687564da302dca8af5da4f8ce5b4cc8468f9a0d232fcc5afa5be8c536ed83f,MSR-100/개수형･개발
4233a45b051017247d5c7ed79c869c43c8210c9319c07299bd8ba1efe26ba941,MSZ-006/개발
ea57274ce46ea68b43d7e373d7d582bbbd71734c74352696c7bb00248a610fd0,MSZ-006/무장･개발
3549de9a66e31609b8e8bae42eca971be34b075e918deace8a12b17079d6cb94,MSZ-006A1/개발
b2976d367a88223b21df4f4612b3f6a899af5c9d20c68511e69c15232582c567,MSZ-006A2/화력･강화
0b6d6ebaf1d037535d0ddd91da1c343170aaba54f8e7cbadf3db81a09a0619ac,MSZ-006C1/우주용･개발
9e8d7d0787669b21e22fd8864ebefcd3bc7545695913ead2cba0c58cc0196262,MSZ-008/개발
9a6fad67b6dea4e91f97789d4a0d6de050e73d7ae79466f9bc3393983ec9bf28,MSZ-010/개발
073702a25cc6b256fdd78d4eaba0f019c64e36f0a37757fb452a30b36d858575,MSZ-010S/중장갑화
8a4d1a7d59dd01410988ff4eb098a558e02aa7fe46fb29fe1722d73b68d50c0d,MS지원트럭/개발
f51ee3dcaa1a6ac31a79500951b08ce137c7b35d859a72e298b7119ffd287622,MS지원유닛/개발
2a917f32f7e4e2f776bdd09fed44ba1fdd32b6d7a4bb7da2e90c399c24f1f8a1,MS모함/개발
4e34a092b8e454edef42d219c2b8e992f4de0aa6e91b7e1e5863261ad221994b,Mk-Ⅱ+메가R
195f5e658fbb9a78167f857c32420a24c381cbbb99aa9b13eb67023266fb7d6c,Mk-Ⅱ디펜서
8dc327e4400d8e20e63718911a251d67b325340d3a0599e87f4980b3e49172eb,M형잠수함
3ef62efad5d03bc444053f01446bcf1850e130993412e580b35a1c427314a968,Mｅ02R/개발
91ea60c17bffb53c4dd3f29f6e4f1c105dc24950da4347bf03dace081ef684d2,M･힐리
